id,name,birth_year,death_year,birth_place_raw,country,region,period,wikidata,lifespan
jorge_jinkis,Jorge Jinkis,1943.0,,Argentina,Argentina,Latin America,World Wars Era,,
friedrich_nietzsche,Friedrich Nietzsche,1844.0,1900.0,Prusia (actual Alemania),Germany,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q9358,56.0
samuel_beckett,Samuel Beckett,1906.0,1989.0,Irlanda,Ireland,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q37327,83.0
leopoldo_lugones,Leopoldo Lugones,1874.0,1938.0,Argentina,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q188875,64.0
paul_valery,Ambroise Valéry,1871.0,1945.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q200639,74.0
eduardo_gruner,Eduardo Grüner,1946.0,,Argentina,Argentina,Latin America,Contemporary,http://www.wikidata.org/entity/Q56582734,
maurice_blanchot,Maurice Blanchot,1907.0,2003.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q315210,96.0
kafka,Franz Kafka,1883.0,1924.0,"Praga, Imperio Austrohúngaro",Czech Republic,Eastern Europe,Long 19th Century,http://www.wikidata.org/entity/Q905,41.0
james_joyce,James Joyce,1882.0,1941.0,Irlanda,Ireland,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q6882,59.0
louis_ferdinand_celine,Louis-Ferdinand Céline,1894.0,1961.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q151820,67.0
william_faulkner,William Faulkner,1897.0,1962.0,Estados Unidos,United States,North America,Long 19th Century,http://www.wikidata.org/entity/Q38392,65.0
borges,Jorge Borges,1899.0,1986.0,Argentina,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q909,87.0
oscar_masotta,Óscar Masotta,1930.0,1979.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q7106131,49.0
luis_gusman,Luis Gusmán,1944.0,,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q5679615,
mallarme,Stéphane Mallarmé,1842.0,1898.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q767,56.0
andre_gide,André Gide,1869.0,1951.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q47484,82.0
spinoza,Baruch Spinoza,1632.0,1677.0,República de los Países Bajos,Netherlands,Western Europe,Early Modern,http://www.wikidata.org/entity/Q35802,45.0
platon,Platón,-428.0,-348.0,Grecia Antigua,Greece,Southern Europe / Classical,Classical Antiquity,http://www.wikidata.org/entity/Q859,80.0
homero,Homero,-750.0,-700.0,Grecia Antigua,Greece,Southern Europe / Classical,Antiquity (Archaic),http://www.wikidata.org/entity/Q6691,50.0
thomas_carlyle,Thomas Carlyle,1795.0,1881.0,Escocia,Escocia,Other/Unknown,Revolutionary Era,http://www.wikidata.org/entity/Q151403,86.0
schleiermacher,Friedrich Schleiermacher,1768.0,1834.0,Prusia (actual Polonia),Germany,Western Europe,Early Modern,http://www.wikidata.org/entity/Q76576,66.0
kant,Immanuel Kant,1724.0,1804.0,Prusia (actual Rusia),Germany,Western Europe,Early Modern,http://www.wikidata.org/entity/Q9312,80.0
rabelais,François Rabelais,1494.0,1553.0,Francia,France,Western Europe,Renaissance,http://www.wikidata.org/entity/Q131018,59.0
soren_kierkegaard,Søren Kierkegaard,1813.0,1855.0,Dinamarca,Denmark,Scandinavia,Revolutionary Era,http://www.wikidata.org/entity/Q6512,42.0
bajtin,Mijaíl Bajtín,1895.0,1975.0,"Oriol, Imperio Ruso","Oriol, Imperio Ruso",Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q185375,80.0
da_vinci,Leonardo Vinci,1452.0,1519.0,República de Florencia (actual Italia),Italy,Western Europe,Renaissance,http://www.wikidata.org/entity/Q762,67.0
arcimboldo,Giuseppe Arcimboldo,1526.0,1593.0,Ducado de Milán (actual Italia),Italy,Western Europe,Renaissance,http://www.wikidata.org/entity/Q7751,67.0
lacan,Jacques Lacan,1901.0,1981.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q169906,80.0
ernst_curtius,Ernst Curtius,1814.0,1896.0,Confederación Germánica (actual Alemania),Germany,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q61407,82.0
baudelaire,Charles Baudelaire,1821.0,1867.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q501,46.0
martin_heidegger,Martin Heidegger,1889.0,1976.0,Imperio alemán (actual Alemania),Germany,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q48301,87.0
michel_foucault,Michel Foucault,1926.0,1984.0,Francia,France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q44272,58.0
spitzer,Leo Spitzer,1887.0,1960.0,Imperio Austrohúngaro (actual Austria),Austria,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q78739,73.0
harold_bloom,Harold Bloom,1930.0,2019.0,Estados Unidos,United States,North America,World Wars Era,http://www.wikidata.org/entity/Q345612,89.0
edgar_allan_poe,Edgar Poe,1809.0,1849.0,Estados Unidos,United States,North America,Revolutionary Era,http://www.wikidata.org/entity/Q16867,40.0
todorov,Tzvetan Todorov,1939.0,2017.0,Bulgaria,Bulgaria,Other/Unknown,World Wars Era,http://www.wikidata.org/entity/Q313852,78.0
georges_bataille,Georges Bataille,1897.0,1962.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q207359,65.0
miguel_d_ors,Miguel d'Ors,1946.0,,España,Spain,Western Europe,Contemporary,http://www.wikidata.org/entity/Q6015319,
michel_leiris,Michel Leiris,1901.0,1990.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q462591,89.0
duras,Marguerite Duras,1914.0,1996.0,Indochina Francesa (actual Vietnam),France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q153248,82.0
louis_althusser,Louis Althusser,1918.0,1990.0,Argelia Francesa,France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q184169,72.0
gilles_deleuze,Gilles Deleuze,1925.0,1995.0,"París, Francia",France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q184226,70.0
jean_luc_godard,Jean-Luc Godard,1930.0,2022.0,Francia,France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q53001,92.0
ana_barrenechea,Ana Barrenechea,1913.0,2007.0,Argentina,Argentina,Latin America,Long 19th Century,,94.0
roland_barthes,Roland Barthes,1915.0,1980.0,Francia,France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q179109,65.0
witold_gombrowicz,Witold Gombrowicz,1904.0,1969.0,Polonia (Imperio Ruso),Poland,Eastern Europe,Long 19th Century,http://www.wikidata.org/entity/Q275175,65.0
ernesto_sabato,Ernesto Sabato,1911.0,2011.0,Argentina,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q186630,100.0
freud,Sigmund Freud,1856.0,1939.0,Imperio Austríaco (actual República Checa),Imperio Austríaco,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q9215,83.0
luis_thonis,Luis Thonis,1949.0,,Argentina,Argentina,Latin America,Contemporary,,
felisberto_hernandez,Felisberto Hernández,1902.0,1964.0,Uruguay,Uruguay,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q714097,62.0
henri_bergson,Henri Bergson,1859.0,1941.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q42156,82.0
macedonio_fernandez,Macedonio Fernández,1874.0,1952.0,Argentina,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q1334326,78.0
zaratustra,Zaratustra,-628.0,-551.0,Imperio Medo (actual Irán),Imperio Medo,Other/Unknown,Antiquity (Archaic),http://www.wikidata.org/entity/Q35811,77.0
emile_zola,Émile Zola,1840.0,1902.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q504,62.0
ramon_alcalde,Ramón Alcalde,1951.0,2021.0,Argentina,Argentina,Latin America,Contemporary,http://www.wikidata.org/entity/Q75653349,70.0
maupassant,Guy Maupassant,1850.0,1893.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q9327,43.0
shakespeare,William Shakespeare,1564.0,1616.0,Inglaterra,United Kingdom,Western Europe,Renaissance,http://www.wikidata.org/entity/Q692,52.0
balzac,Honoré Balzac,1799.0,1850.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q9711,51.0
gustave_flaubert,Gustave Flaubert,1821.0,1880.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q43444,59.0
charles_dickens,Charles Dickens,1812.0,1870.0,Inglaterra,United Kingdom,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q5686,58.0
victor_hugo,Victor Hugo,1802.0,1885.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q535,83.0
jean_martin_charcot,Jean-Martin Charcot,1825.0,1893.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q20710,68.0
karl_marx,Karl Marx,1818.0,1883.0,Prusia (actual Alemania),Germany,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q9061,65.0
ruben_dario,Rubén Darío,1867.0,1916.0,Nicaragua,Nicaragua,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q173767,49.0
dante_alighieri,Dante Alighieri,1265.0,1321.0,República de Florencia (actual Italia),Italy,Western Europe,Medieval,http://www.wikidata.org/entity/Q1067,56.0
fiodor_dostoyevski,Fiódor Dostoyevski,1821.0,1881.0,"Moscú, Imperio Ruso","Moscú, Imperio Ruso",Other/Unknown,Revolutionary Era,http://www.wikidata.org/entity/Q991,60.0
san_agustin,de Hipona Agustín,354.0,430.0,Imperio Romano (actual Argelia),Imperio Romano,Other/Unknown,Hellenistic/Roman,http://www.wikidata.org/entity/Q8018,76.0
melville,Herman Melville,1819.0,1891.0,Estados Unidos,United States,North America,Revolutionary Era,http://www.wikidata.org/entity/Q4985,72.0
luis_chitarroni,Luis Chitarroni,1958.0,2023.0,Argentina,Argentina,Latin America,Contemporary,http://www.wikidata.org/entity/Q112121650,65.0
severo_sarduy,Severo Sarduy,1937.0,1993.0,Cuba,Cuba,Latin America,World Wars Era,http://www.wikidata.org/entity/Q528804,56.0
esteban_echeverria,Esteban Echeverría,1805.0,1851.0,Virreinato del Río de la Plata,Virreinato del Río de la Plata,Other/Unknown,Revolutionary Era,http://www.wikidata.org/entity/Q188859,46.0
enrique_pezzoni,Enrique Pezzoni,1926.0,1989.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q10934058,63.0
sylvia_molloy,Sylvia Molloy,1938.0,2022.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q42904745,84.0
octavio_paz,Octavio Paz,1914.0,1998.0,México,Mexico,Latin America,World Wars Era,http://www.wikidata.org/entity/Q46739,84.0
lezama_lima,José Lezama Lima,1910.0,1976.0,Cuba,Cuba,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q366949,66.0
george_steiner,George Steiner,1929.0,2020.0,Francia,France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q453288,91.0
cervantes,Miguel Cervantes,1547.0,1616.0,España,Spain,Western Europe,Renaissance,http://www.wikidata.org/entity/Q5682,69.0
goethe,Johann Goethe,1749.0,1832.0,Sacro Imperio Romano Germánico (actual Alemania),Germany,Western Europe,Early Modern,http://www.wikidata.org/entity/Q5879,83.0
holderlin,Johann Hölderlin,1770.0,1843.0,Ducado de Wurtemberg (actual Alemania),Germany,Western Europe,Early Modern,http://www.wikidata.org/entity/Q75889,73.0
walter_benjamin,Walter Benjamin,1892.0,1940.0,Imperio alemán (actual Alemania),Germany,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q61078,48.0
ricardo_zelarayan,Ricardo Zelarayán,1940.0,2010.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q6108561,70.0
osvaldo_lamborghini,Osvaldo Lamborghini,1940.0,1985.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q2036284,45.0
jean_paul_sartre,Jean-Paul Sartre,1905.0,1980.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q9364,75.0
gerard_genette,Gérard Genette,1930.0,2018.0,Francia,France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q266247,88.0
alfredo_palacios,Alfredo Palacios,1878.0,1965.0,Buenos Aires,Buenos Aires,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q2880118,87.0
juan_domingo_peron,Juan Domingo Perón,1895.0,1974.0,"Lobos, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q93330,79.0
martinez_estrada,Ezequiel Martínez Estrada,1895.0,1964.0,"San José de la Esquina, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q464737,69.0
ricardo_piglia,Ricardo Piglia,1940.0,2017.0,"Adrogué, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q583814,77.0
roberto_arlt,Roberto Arlt,1900.0,1942.0,"Buenos Aires, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q188838,42.0
jose_hernandez,José Hernández,1834.0,1886.0,"Chacras de Perdriel, Argentina",Argentina,Latin America,Revolutionary Era,http://www.wikidata.org/entity/Q377623,52.0
sarmiento,Domingo Faustino Sarmiento,1811.0,1888.0,"San Juan, Argentina",Argentina,Latin America,Revolutionary Era,http://www.wikidata.org/entity/Q254041,77.0
manuel_puig,Manuel Puig,1932.0,1990.0,"General Villegas, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q284560,58.0
franz_schubert,Franz Schubert,1797.0,1828.0,"Viena, Austria",Austria,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q7312,31.0
david_vinias,David Viñas,1927.0,2011.0,"Buenos Aires, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q965392,84.0
jose_marmol,José Mármol,1817.0,1871.0,"Buenos Aires, Argentina",Argentina,Latin America,Revolutionary Era,http://www.wikidata.org/entity/Q1709528,54.0
juan_jose_sebreli,Juan José Sebreli,1930.0,2024.0,"Buenos Aires, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q5950521,94.0
juan_manuel_rosas,Juan Manuel de Rosas,1793.0,1877.0,"Buenos Aires, Argentina",Argentina,Latin America,Revolutionary Era,http://www.wikidata.org/entity/Q311436,84.0
lord_byron,George Gordon Byron,1788.0,1824.0,"Londres, Inglaterra",United Kingdom,Western Europe,Early Modern,http://www.wikidata.org/entity/Q5679,36.0
juan_bautista_alberdi,Juan Bautista Alberdi,1810.0,1884.0,"San Miguel de Tucumán, Argentina",Argentina,Latin America,Revolutionary Era,http://www.wikidata.org/entity/Q722738,74.0
hegel,Georg Wilhelm Friedrich Hegel,1770.0,1831.0,"Stuttgart, Alemania",Germany,Western Europe,Early Modern,http://www.wikidata.org/entity/Q9235,61.0
levi_strauss,Claude Lévi-Strauss,1908.0,2009.0,"Bruselas, Bélgica",Belgium,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q128126,101.0
jose_luis_romero,José Luis Romero,1909.0,1977.0,"Buenos Aires, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q9014133,68.0
philippe_aries,Philippe Ariès,1914.0,1984.0,"Blois, Francia",France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q434571,70.0
arturo_frondizi,Arturo Frondizi,1908.0,1995.0,"Paso de los Libres, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q346658,87.0
raul_alfonsin,Raúl Alfonsín,1927.0,2009.0,"Chascomús, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q193062,82.0
hector_campora,Héctor Cámpora,1909.0,1980.0,"Mercedes, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q356751,71.0
carl_jung,Carl Gustav Jung,1875.0,1961.0,"Kesswil, Suiza",Switzerland,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q41532,86.0
rimbaud,Arthur Rimbaud,1854.0,1891.0,"Charleville, Francia",France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q493,37.0
oscar_wilde,Oscar Wilde,1854.0,1900.0,"Dublín, Irlanda",Ireland,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q30875,46.0
hector_murena,Héctor Murena,1923.0,1975.0,"Buenos Aires, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q1642834,52.0
gongora,Luis de Góngora y Argote,1561.0,1627.0,"Córdoba, España",Spain,Western Europe,Renaissance,http://www.wikidata.org/entity/Q219744,66.0
raul_scalabrini_ortiz,Raúl Scalabrini Ortiz,1898.0,1959.0,"Corrientes, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q4263301,61.0
italo_calvino,Italo Calvino,1923.0,1985.0,"Santiago de las Vegas, Cuba",Cuba,Latin America,World Wars Era,http://www.wikidata.org/entity/Q154756,62.0
guillermo_hudson,William Henry Hudson,1841.0,1922.0,"Quilmes, Argentina",Argentina,Latin America,Revolutionary Era,http://www.wikidata.org/entity/Q255470,81.0
chesterton,Gilbert Keith Chesterton,1874.0,1936.0,"Kensington, Reino Unido",United Kingdom,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q183167,62.0
de_quincey,Thomas De Quincey,1785.0,1859.0,"Mánchester, Reino Unido",United Kingdom,Western Europe,Early Modern,http://www.wikidata.org/entity/Q317160,74.0
canal_feijoo,Bernardo Canal Feijóo,1897.0,1982.0,"Santiago del Estero, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q16489661,85.0
jean_starobinski,Jean Starobinski,1920.0,2019.0,"Ginebra, Suiza",Switzerland,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q123507,99.0
jorge_monteleone,Jorge Monteleone,1957.0,,"Buenos Aires, Argentina",Argentina,Latin America,Contemporary,,
tinianov,Yuri Tiniánov,1894.0,1943.0,"Rezekne, Letonia","Rezekne, Letonia",Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q368455,49.0
santiago_dabove,Santiago Dabove,1889.0,1951.0,"Morón, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q7420248,62.0
